# Mapa de renombrado — ECW Hardcore TV 1997 (#193-#244)
# Derivado de vehemiurgia/ecw-hardcore-tv-1997.md §1. NO editar a mano sin corregir la guia.
# fecha_emision = canonica (la que va en el nombre). fecha_taping = secundaria, solo para matchear archivos mal fechados.
numero	nombre_canonico	fecha_emision	fecha_taping	nota
232	1997 10 03 ECW Hardcore TV 232	1997-10-03	1997-09-20	ECW Arena — As Good As It Gets
233	1997 10 11 ECW Hardcore TV 233	1997-10-11	1997-09-20	ECW Arena — As Good As It Gets
234	1997 10 18 ECW Hardcore TV 234	1997-10-18	1997-09-20	especial de clips, sin matches
235	1997 10 25 ECW Hardcore TV 235	1997-10-25	1997-10-16	Lost Battalion Hall, Queens NY
236	1997 11 01 ECW Hardcore TV 236	1997-11-01	1997-10-18	ECW Arena
237	1997 11 08 ECW Hardcore TV 237	1997-11-08	1997-10-18	ECW Arena
238	1997 11 15 ECW Hardcore TV 238	1997-11-15	1997-11-08	ECW Arena — Ultimate Jeopardy '97
239	1997 11 22 ECW Hardcore TV 239	1997-11-22	1997-11-08	ECW Arena — Ultimate Jeopardy '97
240	1997 11 29 ECW Hardcore TV 240	1997-11-29	1997-11-20	Queens NY [recinto no confirmado]
241	1997 12 06 ECW Hardcore TV 241	1997-12-06	1997-11-20	Queens NY + recap de November to Remember
242	1997 12 13 ECW Hardcore TV 242	1997-12-13	1997-12-06	ECW Arena — Better Than Ever
243	1997 12 20 ECW Hardcore TV 243	1997-12-20	1997-12-06	ECW Arena — Better Than Ever
244	1997 12 27 ECW Hardcore TV 244	1997-12-27	1997-12-13	Flickinger Center, Buffalo NY
